video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=YoB_uA7z-jk&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@3lhd,3LHD,Study of the urban revitalization of the former Gredelj factory zone,23K,2 years,Animation and text: Boris Goreta Ida Ister Narrator: Lizette Villaverde Sound: Berko Muratović.,2024-01-24 03:17:34.179738
/watch?v=pUbHGI-kHsU&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@freethink,Freethink,Is Copenhagen the World's Most Sustainable City?,366K,4 years,"By 2050, 70% of the world's population will live in urban areas (up from 50% now). With the climate crisis worsening, how can we ...",2024-01-24 03:17:34.181555
/watch?v=LsDLuKSDa9Q&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@DonnaIRL,Donna,Influencers Glamorizing Cities May Lead to Bad Urban Planning,25K,1 year,"The story of the successful influencer is a familiar one. One day they were making videos in their bedroom, the next they're a star ...",2024-01-24 03:17:34.186959
/watch?v=wQdUhC-ss-g&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@ThomasFromPHX,Thomas Y,Houston's Urban Planning Is Better Than People Realize,9K,1 year,Houston is often considered one of the worst cities when it comes to urban planning-but it's not all bad. It manages to stay ...,2024-01-24 03:17:34.188536
/watch?v=tTbfCNiL2YA&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@TEDx,TEDx Talks,Pedestrians in Urban Development | Andres Sevtsuk | TEDxTallinn,3.2K,2 years,We know that our cities need change. But we still use measuring car traffic as the basis of changes. What if we measured ...,2024-01-24 03:17:34.190585
/watch?v=8QaoNb4Tcik&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@WesternSydneyU,Western Sydney University,Where can an Urban Planning degree take you?,5.6K,4 years,"Find out where the B. Planning has taken our graduate, Nazia Pokar. Click through to see where this degree can take you: ...",2024-01-24 03:17:34.192285
/watch?v=ScuSibogDpA&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@esri_arcgis,ArcGIS,ArcGIS Urban - Transforming Urban Planning and Design,46K,3 years,"Issues like housing availability, sustainability goals, and economic changes are compelling cities to better plan for the future.",2024-01-24 03:17:34.193511
/watch?v=xwUVqq8CSq0&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@theglymp,The Glymp,How did Feudalism impact Japan? - Urban Planning & City Design (History documentary),12K,1 year,How did the Feudal time villages and architecture in Japan (1185 AD to 1603 AD) impact nowadays Japan? This documentary ...,2024-01-24 03:17:34.194739
/watch?v=eXCn5YSXTrk&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@urbanplanningexplained3230,Urban Planning Explained,The (Brief) History of Urban Planning,21K,2 years,"While the profession of urban planning is somewhat recent in history, the practices of planning go all the way to the ancient times.",2024-01-24 03:17:34.196546
/watch?v=98GwUdouZi0&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@cityofphoenixaz,CityofPhoenixAZ,Urban Planning 101,8.1K,6 years,Connect with the City of Phoenix: http://Phoenix.gov – Home page http://Facebook.com/CityofPhoenixAZ - Like us for updates ...,2024-01-24 03:17:34.197792
/watch?v=DG7Nmb8BPVo&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@nuscivilandenvironmentalen5871,NUS Civil and Environmental Engineering,NUS CEE Second Major - Sustainable Urban Development,220,8 months,An Interdisciplinary Second Major in Sustainable Urban Development is offered by the Department of Civil and Environmental ...,2024-01-24 03:17:34.199045
/watch?v=qmxCcLBqixs&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@UNEP,UN Environment Programme,Explore this urban development in the heart of Stockholm,3.1K,1 year,"According to UNEP, cities account for 60-80 per cent of energy consumption and 75 per cent of carbon emissions despite ...",2024-01-24 03:17:42.437295
/watch?v=Obs9Xh875Lg&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@CNAInsider,CNA Insider,15-Minute City: Urban Planning Solution To Climate Change | CNA Correspondent,16K,4 months,"Since the passing of the historic Paris Agreement in 2015, governments are pledging their commitment to net zero carbon ...",2024-01-24 03:17:42.439588
/watch?v=Walx0iQZfiY&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@CityBeautiful,City Beautiful,15 things you didn't know about city planning (probably),283K,3 years,"Books: (Not affiliate links. Buy from local bookstores when possible) Better Buses, Better Cities by Steven Higashide ...",2024-01-24 03:17:42.440873
/watch?v=CWKuCoSg85w&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@EcoGecko,Eco Gecko,Sotsgorod: A Brief Introduction to Soviet Urban Planning,55K,3 years,"Utopian visions confronted pragmatic realities across the Soviet Union's eighty years of existence, as the USSR designed and ...",2024-01-24 03:17:42.442429
/watch?v=kUKjzhiT4To&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@koebenhavnskommune,Københavns Kommune,Copenhagen Urban Development,16K,7 years,"Copenhagen, the capital of Denmark, is one of the greenest, safest and most innovative cities in the world. But this was not always ...",2024-01-24 03:17:42.443584
/watch?v=jOMQ4Uq-Ziw&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@Alpine1,Alpine1,Plan your Minecraft City with THIS urban planning concept,37K,1 year,"In this video, we're going to talk about how to plan Minecraft roads with real urban planning techniques. By using these tips, you'll ...",2024-01-24 03:17:42.444868
/watch?v=Bgotv8UHAF8&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@sweden,Sweden,Urban Planning,12K,2 years,"Cities around the world are growing. To meet the demand, we need to find new ways to build sustainably and in a way that is ...",2024-01-24 03:17:42.446098
/watch?v=dgVIZSYrKPY&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@TestPrep,"TestPrep (AP, GATE, NET ...)","Urban Development: Issues, Challenges, Key Developments, Planning, Pollution | Economics",5.4K,3 years,Chapters: 0:00 Urban Development : Issues and challenges 0:20 Urban Development 2:18 Key challenges/problems of Urban ...,2024-01-24 03:17:42.447784
/watch?v=TKvutTKxcXE&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@PlanetizenCourses,Planetizen Courses,How was urban planning born?,20K,3 years,"""Introduction to City Planning 2: Modern Ideas of City Planning (1900-1939)"" explores the development of the city and city ...",2024-01-24 03:17:42.449561
/shorts/tpxaApVIYX0,/@TheCuriouspod,The Curious Pod,The Line: Mega Project l City Life & Sustainability | Future Urban Vision| #shorts #infrastructure,3.7M,8 months,"... futuristic urban development that's revolutionizing city life and sustainability! Join us as we delve into NEOM's innovative project, ...",2024-01-24 03:17:42.454181
/watch?v=vQEaGyESK6c&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@universitycollegedublin,UCD - University College Dublin,Urban Sprawl and Urban Planning,49K,15 years,"Dr Brendan Williams in UCD School Of Geography, Planning & Environmental Policy on the challenges facing urban planners ...",2024-01-24 03:17:42.455449
/watch?v=ZsvIh-Yg7BI&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@TEDx,TEDx Talks,Mumbai 3.0: The Future of Urban Planning | Shankar Deshpande | TEDxKESShroffCollege,6K,1 year,Mumbai 3.0: The Future of Urban Planning” by Shankar Deshpande gives a glimpse into how transit-oriented development can ...,2024-01-24 03:17:42.456734
/watch?v=RYuGWOjm26E&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@DWREV,DW REV - Cars & Mobility,Should We Ban Cars From Cities?,402K,1 year,"Paris, Barcelona, Groningen: 3 cities, 3 solutions to tackle pollution, heatwaves, livability. As global urban populations rise, ...",2024-01-24 03:17:42.458214
/watch?v=Nxs8wDbfNHI&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@RTVMalacanang,RTVMalacanang,Oath-taking Ceremony of Department of Human Settlements and Urban Development Secretary Jose Acuzar,13K,1 year,"Study Room, Malacañan Palace July 29, 2022 President Ferdinand R. Marcos Jr. administers the oath-taking ceremony of ...",2024-01-24 03:17:42.459455
/watch?v=JtDp_xb8A2g&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@CSPAN,C-SPAN,Secretary of Housing and Urban Development Nominee Marcia Fudge Opening Statement,6.7K,2 years,C-SPAN: Created by Cable in 1979. Offered as a public service. Subscribe to our YouTube channel: ...,2024-01-24 03:17:42.460696
/watch?v=lvxMQSsenYw&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@ImmigrantTalks,Immigrant Talks,Masters in URBAN PLANNING in USA!!! Ft. Harsheeta Gupta,5.6K,10 months,Talk to me here_ https://linktr.ee/omkarajagdale Email: omkarhelps@gmail.com.,2024-01-24 03:17:42.461827
/watch?v=vgwb5m6xVds&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@PlanetizenCourses,Planetizen Courses,How to Launch Your Urban Planning Career,43K,4 years,This video discusses everything that a prospective or junior planner needs to know to chart a fulfilling urban planning career.,2024-01-24 03:17:42.463570
/watch?v=VYOKRGIIWLc&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@TCMOriginals,TCM Originals,What is Inclusive Urban Development and Why is it Important for Pakistan?,8.3K,1 year,"Problems like unaffordable housing schemes, increase in slum areas and less options for safe public transport are restricting the ...",2024-01-24 03:17:42.464831
/watch?v=sxnYuX4d0kY&pp=ygURVXJiYW4gRGV2ZWxvcG1lbnQ%3D,/@trtworld,TRT World,Egyptian Urban Planning: Poor urban planning causes building collapses,8.9K,6 years,Egyptian construction workers have started demolishing a 13-story tower after it toppled onto another building last June. A lack of ...,2024-01-24 03:17:42.466064
